wohnflaeche;grundstueckflaeche;anz_zimmer;kategorie;keller;baujahr;energieeffizienz;zustand;kontextWert;price1;price2;priceDelta
-0.5;-79.0;-2.0;0;0;-20;-1;1;0;168000;399000;-231000
-0.5;-79.0;-2.0;0;0;-20;-1;1;0;168000;449000;-281000
19.0;-36.0;1.0;0;0;-7;-2;0;100;168000;289000;-121000
-22.0;120.0;2.0;1;0;34;-4;3;0;169000;570000;-401000
13.0;765.0;1.0;0;0;54;0;3;50;169000;269000;-100000
13.0;1821.0;2.0;0;0;15;-1;2;-150;169000;390000;-221000
0.18;0.18;0.0;0;0;0;0;0;0;169000;169000;0
0.2;0.2;0.0;0;0;0;0;0;0;169000;169000;0
13.28;-297.72;6.0;1;2;-6;-7;0;-200;169000;699000;-530000
0.0;-47.0;0.0;0;1;8;0;0;100;169000;169000;0
-2.0;-232.0;-2.0;0;0;3;0;0;0;169000;85000;84000
10.0;1.0;0.0;0;0;0;0;0;-200;169000;229000;-60000
-4.34;44.0;-2.0;1;1;-1;0;0;0;169000;299000;-130000
-1.5;154.0;1.0;0;0;-2;-1;2;-50;169000;449000;-280000
-11.94;73.0;-1.0;0;1;11;-2;0;50;169000;254000;-85000
-11.82;253.0;-4.0;0;2;0;3;0;-50;169000;99000;70000
8.18;-94.0;0.0;0;0;-78;1;0;50;169000;347000;-178000
-11.82;231.0;-1.0;0;0;0;3;-2;0;169000;113875;55125
-8.0;-157.0;1.0;0;-1;-5;2;0;100;169000;329000;-160000
10.2;-320.0;0.0;1;-1;0;4;0;0;169000;140000;29000
12.0;-17.0;1.0;1;-1;0;1;-2;50;169000;120000;49000
0.0;0.0;0.0;0;0;0;0;0;0;169000;199000;-30000
4.0;-77.0;-1.0;1;0;14;0;0;0;169000;135000;34000
-6.0;-37.0;-1.0;1;0;5;-2;0;-250;169000;230000;-61000
-8.0;-119.0;0.0;0;-2;-65;-1;0;-50;169000;177000;-8000
0.0;103.0;0.0;0;0;-100;-4;0;100;169000;248000;-79000
-11.58;-146.0;0.0;0;-2;-68;0;0;50;169000;275000;-106000
-0.02;-0.02;0.0;0;0;0;0;0;0;169000;169000;0
-0.2;-0.2;0.0;0;0;0;0;0;0;169000;169000;0
13.08;-297.92;6.0;1;2;-6;-7;0;-200;169000;699000;-530000
-3.49;-188.0;1.0;0;0;-5;0;0;0;169000;159000;10000
0.0;47.0;0.0;0;-1;-8;0;0;-100;169000;169000;0
5.0;-154.0;-2.0;0;-1;-1;0;0;-50;169000;247000;-78000
-1.0;-269.0;-1.0;0;0;0;0;0;-150;169000;249000;-80000
-1.0;-269.0;-1.0;0;0;0;0;0;-150;169000;285000;-116000
4.0;-350.0;0.0;1;0;-5;-4;0;0;169000;285000;-116000
10.0;118.0;2.0;1;0;2;0;0;-350;169000;199000;-30000
10.0;118.0;2.0;1;0;2;0;0;-350;169000;169000;0
14.0;41.0;1.0;1;0;16;0;0;-350;169000;135000;34000
0.02;0.02;0.0;0;0;0;0;0;0;169000;169000;0
-0.18;-0.18;0.0;0;0;0;0;0;0;169000;169000;0
13.1;-297.9;6.0;1;2;-6;-7;0;-200;169000;699000;-530000
-0.07;-0.07;0.0;0;0;0;0;0;0;170000;170000;0
-14.28;-144.0;0.0;0;1;3;0;0;0;170000;247000;-77000
