wohnflaeche;grundstueckflaeche;zimmer;category;basement;year;efficiency_rating;condition;floors;terrace;type;price;id;plz;street;city;district;kontextlabel;kontextWert
120.38;747;5;einfamilienhaus;1;1978;0;1;1.9;Terrasse. Balkon ;Massivhaus;389000;55507437;49565;Straße nicht freigegeben;Bramsche;Schleptrup;6;2300
271.01;741;12;mehrfamilienhaus;2;1968;2.8;1;1.9;Terrasse. Balkon ;Massivhaus;449000;99791506;49565;Straße nicht freigegeben;Bramsche;;6;2300
170;1500;5;bungalow;2;1986;2;1;1.9;Terasse;Massivhaus;449000;80478962;49565;Straße nicht freigegeben;Bramsche;;6;2300
154;560;5;einfamilienhaus;1.19;2022;2.8;1.2;1.9;Terasse;KfW 55;299900;37475883;49565;Straße nicht freigegeben;Bramsche;Lappenstuhl;6;2300
218;12045;3;einfamilienhaus;1.19;1790;3;1.2;1.9;Terasse;Massivhaus;588000;60338978;21709;Straße nicht freigegeben;Burweg;;0;2750
144;797;6;einfamilienhaus;0;2000;2.8;1;2;Terrasse. Garten. Balkon. Wintergarten ;Massivhaus;479000;58356739;49626;Straße nicht freigegeben;Bippen;;1;1700
197.5;1009;4;mehrfamilienhaus;0;1992;4;1;2;Terrasse. Gartenanteil ;Massivhaus;1200000;55731231;27804;Straße nicht freigegeben;Berne;;5;1750
124;537;5;einfamilienhaus;1.19;2014;0;1.2;1.9;Terrasse ;Massivhaus;259000;63848367;27804;Straße nicht freigegeben;Berne;Ganspe;5;1750
140;4274;6;einfamilienhaus;1.19;1868;2.8;1.2;1.9;Terasse;Massivhaus;249000;77728279;27804;Straße nicht freigegeben;Berne;Neuenhuntorfermoor;5;1750
130;390;4;doppelhaushälfte;1.19;2012;6;1.2;1.9;Terrasse. Garten ;Massivhaus;356000;43656417;27804;Straße nicht freigegeben;Berne;Ranzenbüttel;5;1750
138;429;4;einfamilienhaus;1;2019;4;1.2;2;Terrasse. Gartenmitbenutzung ;Massivhaus;198000;11794832;27804;Straße nicht freigegeben;Berne;;5;1750
203;919;9;einfamilienhaus;1.19;1900;2.8;0;1.9;Terasse;Massivhaus;387800;11605282;27804;Straße nicht freigegeben;Berne;Ranzenbüttel;5;1750
135.3;490;4;einfamilienhaus;1.19;2022;2.8;1.2;1.9;Terrasse ;Massivhaus;395000;21889349;27804;Straße nicht freigegeben;Berne;;5;1750
293;1400;10;mehrfamilienhaus;1.19;1992;4;0;1.9;Terrasse. Balkon ;Massivhaus;498000;51252413;27804;Straße nicht freigegeben;Berne;Juliusplate;5;1750
134;775;5;bungalow;1.19;1978;2;1;1.9;Terrasse. Garten. Gartenanteil ;Massivhaus;539000;78291913;27804;Straße nicht freigegeben;BerneKrWesermarsch;;5;1750
148.95;526;5;einfamilienhaus;1;1930;1;1.2;1.9;Terrasse ;Massivhaus;320000;18716188;27804;Weserstr. 42;Berne;Ranzenbüttel;5;1750
349;428;6.3;mehrfamilienhaus;1.19;1916;2.8;1.2;2;Balkon ;Massivhaus;280000;11668189;27804;Lange Straße 64;Berne;;5;1750
142;1302;5;einfamilienhaus;2;1890;2.8;1.2;1.9;Terasse;Massivhaus;197800;58423022;27804;Straße nicht freigegeben;Berne;Weserdeich;5;1750
140;731;5;einfamilienhaus;1.19;2001;0;1.2;1.9;Terrasse ;Massivhaus;339000;63244580;27804;Straße nicht freigegeben;Berne;Ganspe;5;1750
98;546;3;bungalow;0;2015;5;1;1;Terrasse. Garten ;Massivhaus;349000;34727144;27804;Straße nicht freigegeben;Berne;Bardenfleth;5;1750
130;657;4.5;einfamilienhaus;0;2007;4;1;1.9;Terrasse ;Massivhaus;475000;68668699;31559;Straße nicht freigegeben;Haste;;6;2400
120;530;5;einfamilienhaus;2;1957;0;3;1.9;Terrasse ;Massivhaus;199000;34160589;31559;Straße nicht freigegeben;Hohnhorst;Rehren A. R.;6;2400
114.16;2532;4.5;einfamilienhaus;1.19;1965;5;1;1.9;Terrasse ;Massivhaus;725000;70831350;21274;Straße nicht freigegeben;Undeloh;;2;4200
