id;plz;stadt;strasse;stadtteil;preis;wohnflaeche;grundstueckflaeche;anz_zimmer;kategorie;keller;baujahr;energieeffizienz;zustand;kontextLabel;kontextWert
60038988;31789;Hameln;Straße nicht freigegeben;Afferde;169000;135.0;680.0;6.0;mehrfamilienhaus;2;1960;0;0;10;1950
57156722;37635;Lüerdissen;Straße nicht freigegeben;;169000;164.0;788.0;7.0;mehrfamilienhaus;2;1964;0;1;1;800
95140023;38678;ClausthalZellerfeld;Straße nicht freigegeben;;169000;220.1;299.1;11.0;doppelhaushälfte;2;2014;0;1;9;1200
49047895;26817;Rhauderfehn;Straße nicht freigegeben;Klostermoor;170000;96.72;1300.0;6.0;einfamilienhaus;2;1960;0;3;5;2150
21036070;26524;Halbemond;Straße nicht freigegeben;;170000;80.0;11685.0;6.0;einfamilienhaus;0;1852;0;3;8;2100
50197779;26817;Rhauderfehn;Straße nicht freigegeben;Klostermoor;170000;96.79;1300.07;6.0;einfamilienhaus;2;1960;0;3;5;2150
74098818;26524;Halbemond;Straße nicht freigegeben;;170000;80.0;14174.0;6.0;einfamilienhaus;0;1852;0;3;8;2100
59662545;27313;Dörverden;Straße nicht freigegeben;;171000;120.0;1117.0;7.0;einfamilienhaus;1;1969;0;3;1;1550
10438879;29468;Bergen;Straße nicht freigegeben;Dumme;172000;185.72;1052.0;7.0;einfamilienhaus;2;1900;1;3;0;1150
35768545;26937;Stadland;Straße nicht freigegeben;Augustgroden;172500;99.9;1981.0;4.0;einfamilienhaus;0;1870;1;3;1;1600
10465317;29345;Südheide;Straße nicht freigegeben;Unterlüß;174000;98.0;1000.0;5.0;einfamilienhaus;2;2005;0;3;0;1600
26291776;38173;Erkerode;Reitlingstraße 16;;174000;75.0;485.0;5.0;einfamilienhaus;0;1750;0;3;2;1150
46800090;21727;EstorfGräpel;Straße nicht freigegeben;;174000;78.0;770.0;3.0;einfamilienhaus;0;2013;0;1;0;2000
90396012;38384;Gevensleben;Straße nicht freigegeben;;174900;135.0;1210.0;5.0;einfamilienhaus;1;1955;0;3;1;800
78148785;31167;Bockenem;Straße nicht freigegeben;Volkersheim;175000;140.0;733.0;7.0;einfamilienhaus;2;1971;1;1;2;1350
