wohnflaeche;grundstueckflaeche;zimmer;category;basement;year;efficiency_rating;condition;kontextWert;price1;price2;priceDelta
-40.46;80.0;5.0;0;0;38;-1;-1;0;179000;180000;-1000
0.0;115.0;3.0;1;2;-67;-4;-1;0;179000;379000;-200000
-20.0;259.0;-1.0;0;2;-2;1;-3;100;179000;160000;19000
-2.0;-60.0;-1.0;1;1;-39;-3;-1;100;179000;185000;-6000
5.89;-40.0;2.0;0;1;1;0;2;0;179000;229900;-50900
13.0;0.0;1.0;0;-1;-12;3;2;0;179000;229000;-50000
-39.7;14.0;0.0;0;0;-2;3;0;-50;179000;369000;-190000
0.0;0.0;0.0;0;0;0;0;0;0;179900;179900;0
-12.0;-35.0;1.0;0;0;-6;0;0;50;179900;269000;-89100
0.88;-190.0;3.0;0;1;-3;-1;2;0;179900;159500;20400
0.0;0.0;0.0;0;0;0;0;0;0;179900;179900;0
-12.0;-35.0;1.0;0;0;-6;0;0;50;179900;269000;-89100
0.88;-190.0;3.0;0;1;-3;-1;2;0;179900;159500;20400
-21.66;-21.0;0.0;0;2;11;0;0;-50;180000;449000;-269000
-8.0;-61.0;0.0;0;2;16;1;0;-50;180000;498000;-318000
7.0;-141.0;0.0;0;2;-6;2;0;-50;180000;395000;-215000
-16.5;-128.0;-2.0;0;0;-24;0;-2;0;180000;185000;-5000
-17.5;380.0;0.0;0;0;-4;-2;0;-100;180000;347000;-167000
-36.39;-44.0;-3.0;0;0;-6;-2;0;-150;180000;259000;-79000
-0.01;-0.01;0.0;0;0;0;0;0;0;180000;149000;31000
