wohnflaeche;grundstueckflaeche;zimmer;category;basement;year;efficiency_rating;condition;price;id;plz;street;city;district;kontextlabel;kontextWert
100.0;600.0;4.0;einfamilienhaus;2;1963;0;1;169000;42851009;38379;Straße nicht freigegeben;Wolsdorf;;1;1750
156.0;898.0;6.0;einfamilienhaus;2;1971;1;3;169000;51411501;27252;Straße nicht freigegeben;Schwaförden;;1;1700
138.18;514.0;4.0;einfamilienhaus;2;1900;4;1;169000;49968375;37581;Straße nicht freigegeben;BadGandersheim;Gremsheim;5;1200
157.0;383.0;7.0;mehrfamilienhaus;1;1900;4;1;169000;66777479;37434;Straße nicht freigegeben;Bilshausen;;1;1850
154.0;670.0;5.0;einfamilienhaus;2;1962;0;1;169000;22264296;38364;Straße nicht freigegeben;Schöningen;;9;1150
90.0;781.0;4.0;einfamilienhaus;0;1900;0;3;169000;94806812;21763;Dorfstraße 83;NeuenkirchenLandHadeln;;0;1850
220.08;299.08;11.0;doppelhaushälfte;2;2014;0;1;169000;39156166;38678;Straße nicht freigegeben;ClausthalZellerfeld;;9;1200
100.0;647.0;4.0;einfamilienhaus;1;1955;0;1;169000;25085754;26831;Straße nicht freigegeben;Bunde;;1;1650
135.0;680.0;6.0;mehrfamilienhaus;2;1960;0;0;169000;60038988;31789;Straße nicht freigegeben;Hameln;Afferde;10;1950
164.0;788.0;7.0;mehrfamilienhaus;2;1964;0;1;169000;57156722;37635;Straße nicht freigegeben;Lüerdissen;;1;800
220.1;299.1;11.0;doppelhaushälfte;2;2014;0;1;169000;95140023;38678;Straße nicht freigegeben;ClausthalZellerfeld;;9;1200
96.72;1300.0;6.0;einfamilienhaus;2;1960;0;3;170000;49047895;26817;Straße nicht freigegeben;Rhauderfehn;Klostermoor;5;2150
80.0;11685.0;6.0;einfamilienhaus;0;1852;0;3;170000;21036070;26524;Straße nicht freigegeben;Halbemond;;8;2100
96.79;1300.07;6.0;einfamilienhaus;2;1960;0;3;170000;50197779;26817;Straße nicht freigegeben;Rhauderfehn;Klostermoor;5;2150
